errate,giusta,domanda
"['Service requests.', 'Service components.', 'Service offerings.']",['Service level agreements.'],Where are the details of the required performance outcomes of a service defined?
"['Technical knowledge.', 'Diagnosis.', 'Problem analysis.']",['Listening.'],Which skill is an essential part of the Service Level Management practice?
"['Problem Management.', 'Supplier Management.', 'Release Management.']",['Service Desk.'],"Which practice requires that staff demonstrate excellent customer service skills, such as empathy and emotional intelligence?"
"['Improve.', 'Design and transition.', 'Deliver and support.']",['Plan.'],Which value chain activity ensures a shared understanding of the current status and required direction for all products and services?
"['A service request.', 'An incident.', 'An IT asset.']",['A configuration item (CI).'],What is defined as any component that needs to be managed in order to deliver an IT service?
"['Release Management.', 'Service management.', 'Relationship Management.']",['Supplier Management.'],"Which practice has the purpose of ensuring that the organization's suppliers and their performance are managed appropriately to support the provision of seamless, quality products and services?"
"['Change Enablement.', 'Service Request Management.', 'Problem Management.']",['Service Level Management.'],Which practice recommends the use of event-based surveys to gather feedback from customers?
"['It removes the need for regular customer updates.', 'It removes the need for collaboration during Incident Resolution.', 'It enables the reassessment of known errors.']",['It enables quick and efficient diagnosis of incidents.'],How does information about problems and known errors contribute to Incident Management?
"['A change that needs to be scheduled, assessed and authorized following a defined process.', 'A high-risk change that needs very thorough assessment.', 'A change that must be implemented as soon as possible.']",['A change that is typically implemented as a service request.'],Which describes a standard change?
"['https://api.amp.cisco.com/v1/endpoints?group[]=6c3c2005-4c74-4ba7-8dbb\xadc4d5b6bafe03', 'https://api.amp.cisco.com/v1/computers?group_guid-6c3c2005-4c74-4ba7-8dbb\xadc4d5b6bafe03', 'https://api.amp.cisco.com/v1/endpoints?group-6c3c2005-4c74-4ba7-8dbb\xadc4d5b6bafe03']",['https://api.amp.cisco.com/v1/computers?group_guid[]=6c3c2005-4c74-4ba7-8dbb\xadc4d5b6bafe03'],"In Cisco AMP for Endpoints, which API queues to find the list of endpoints in the group 'Finance Hosts' which has a GUID of 6c3c2005-4c74-4ba7-8dbb-c4d5b6bafe03?"
"['Single system-based metrics.', 'Metrics for the percentage of uptime of a service.', 'Operational metrics.']",['Metrics linked to defined outcomes.'],Which service level metrics are BEST for measuring user experience?
"['Requesting a workaround for an issue.', 'Requesting an enhancement to an application.', 'Requesting investigation of a degraded service.']",['Requesting information about how to create a document.'],Which is a service request?
"['Service Request Management and Deployment Management.', 'Deployment Management and Change Enablement.', 'Change Enablement and Incident Management.']",['Incident Management and Service Request Management.'],Which two practices interact the MOST with the Service Desk practice?
"['A problem.', 'A change.', 'An event.']",['An incident.'],What is defined as an unplanned interruption or reduction in the quality of a service?
"['Changes that are low-risk and pre-authorized.', 'Changes that are typically initiated as service requests.', 'Changes that must be implemented as soon as possible.']",['Changes that need to be scheduled and assessed following a process.'],Which describes normal changes?
"['Immediate escalation.', 'Specialist teams.', 'Third party support.']",['A separate process.'],The management of information security incidents usually requires [?].
"['Change authorities are only required for authorizing Emergency Changes.', 'Change authorities are assigned when each change is deployed.', 'Change authorities are only required for authorizing normal changes.']",['Change authorities are assigned for each type of change and change model.'],Which statement about change authorities is CORRECT?
"['An IT asset.', 'A configuration item (CI).', 'A user.']",['A customer.'],What defines the requirements for a service and takes responsibility for the outcomes of service consumption?
"['Incident Management.', 'Change Control.', 'Problem Management.']",['Service Desk.'],"Which practice owns and manages issues, queries and requests from users?"
"['Technical skills.', 'Problem resolution skills.', 'Supplier Management skills.']",['Incident Analysis skills.'],What are the MOST important skills required by Service Desk staff?
"['Service Request Management.', 'Service Level Management.', 'Change Enablement.']",['Incident Management.'],Which practice improves customer and user satisfaction by reducing the negative impact of service interruptions?
"['Service value streams.', 'Customer engagement.', 'The application of practices.']",['Value realization.'],What is the expected outcome from using a service value chain?
"['Information security management.', 'Incident Management.', 'Change Control.']",['Monitoring and Event Management.'],Which practice has a purpose that includes observing a service to report selected changes of state identified as events?
"['Keep it simple and practical.', 'Think and work holistically.', 'Optimize and automate.']",['Collaborate and promote visibility.'],Which guiding principle helps to ensure that better information is available for decision making?
"['Rapid escalation.', 'Formation of a temporary team.', 'Problem Prioritization.']",['The use of scripts.'],What helps diagnose and resolve a simple incident?
"['An organization.', 'A team.', 'A supplier.']",['A role.'],A user is [?] that uses services.
"['As soon as a solution for the problem has been identified.', 'As soon as a workaround for the problem has been identified.', 'As soon as the analysis of the frequency and impact of incidents justifies the change.']","['As soon as the analysis of cost, risks and benefits justifies the change.']",When should a change request be submitted to resolve a problem?
"['An organization should always use a single technique to ensure metrics are consistent.', 'An organization should always use a strength, weakness, opportunity and threat (SWOT) analysis.', 'An organization should always use an approach that combines Lean, Agile and DevOps methodologies.']",['An organization should always develop competencies in methodologies and techniques that will meet their needs.'],"When planning Continual Improvement, which approach for assessing the current state of a service is CORRECT?"
"['Make new and changed services available for use.', 'Record and report selected changes of state.', 'Plan and manage the full lifecycle of all IT assets.']",['Ensure that risks have been properly assessed.'],Which is included in the purpose of the Change Enablement practice?
"['By paying for the service.', 'By managing server hardware.', 'By managing staff availability.']",['By communicating constraints.'],How does a service consumer contribute to the reduction of disk?
"['Costs.', 'Users.', 'Value.']",['Performances.'],The purpose of the Supplier Management practice is to ensure that the organization's suppliers and their [?] are managed appropriately to support the seamless provision of quality products and services.
"['Enabling Cisco Fabric Services causes the existing RADIUS configuration on your Cisco NX- OS device to be immediately distributed.', 'When the RADIUS configuration is being simultaneously changed on more than one device in a Cisco Fabric Services region, the most recent changes will take precedence.', 'Only the Cisco NX-OS device with the lowest IP address in the Cisco Fabric Services region can lock the RADIUS configuration.']",['Cisco Fabric Services does not distribute the RADIUS server group configuration or server and global keys.'],Which statement about RADIUS configuration distribution using Cisco Fabric Services on a Cisco Nexus 7000 Series Switch is true?
"['Organizations and people.', 'Partners and suppliers.', 'Value streams and processes.']",['Information and technology.'],Which dimension considers how knowledge assets should be protected?
"['Collaborate and promote visibility.', 'Focus on value.', 'Think and work holistically.']",['Optimize and automate.'],Which guiding principle recommends standardizing and streamlining manual tasks?
"['Run an antivirus scan on the finance P.', 'Perform reverse engineering on the document.', 'Analyze network logs for unusual traffic.']",['Use a protocol analyzer on the air-gapped P.'],"Ann, a member of the finance department at a large corporation, has submitted a suspicious email she received to the information security team. The team was not expecting an email from Ann, and it contains a PDF file inside a ZIP compressed archive. The information security learn is not sure which files were opened. A security team member uses an air-gapped PC to open the ZIP and PDF, and it appears to be a social engineering attempt to deliver an exploit. Which of the following would    provide greater insight on the potential impact of this attempted attack?"
"[""Run a baseline analyzer against the user's computer."", 'Start where you are.', 'Collaborate and promote visibility.']",['Keep it simple and practical.'],Which guiding principle recommends eliminating activities that do not contribute to the creation of value?
"['Optimize and automate.', ""Make 'focus on value' a responsibility of the management."", 'Focus on the value of new and significant projects first.', 'Focus on value for the service provider first.']",[],What is a recommendation of the 'focus on value' guiding principle?
"['The management of resources needed to consume the service.', 'The grouping of one or more services based on one or more products.', 'The joint activities performed to ensure continual value co-creation.']",['The management of resources configured to deliver the service.'],Which is part of service provision?
"['Change Control.', 'IT Asset Management.', 'Service Desk.']",['Service Request Management.'],Which practice has a purpose to support the quality of the service by handling all agreed user initiated service requests?
"['Each time the standard change is implemented.', 'At least once a year.', 'When an Emergency Change is requested.']",['When the procedure for the standard change is created.'],When should a full risk assessment and Authorization be carried out for a standard change?
"['It should be managed at the senior level of the organization.', 'It should be used to capture user demand.', 'There should only be one for the whole organization.']",['It should be re-prioritized as ideas are documented.'],Which statement about a Continual Improvement register is CORRECT?
"['Ensuring that service components are available when needed.', 'Providing transparency and good stakeholder relationships.', 'Supporting services according to specifications.']",['Continually meeting stakeholder expectations for costs.'],Which is included in the purpose of the 'design and transition' value chain activity?
"['Meeting stakeholder expectations for time to market.', ""Understanding the organization's service vision."", 'Understanding stakeholder needs.']",['Providing services to agreed specifications.'],Which is included in the purpose of the 'deliver and support' value chain activity?
"['Supplier Management.', 'Problem Management.', 'Relationship Management.']",['Service Desk.'],"Which practice coordinates the classification, ownership and communication of service requests and incidents?"
"['Service Level Management.', 'Change Control.', 'Service Request Management.']",['Incident Management.'],Which practice updates information relating to symptoms and business impact?
"['Progress iteratively with feedback.', 'Keep is simple and practical.', 'Focus on value.']",['Start where you are.'],"Which ITIL guiding principle recommends using existing services, processes and tools when improving services?"
"['The planned removal of an item that might affect a service.', 'A result enabled by one or more outputs.', 'A possible future event that could cause harm.']",['A service interruption resolved by the use of self-help tools.'],What is an incident?
"['Incident.', 'Problem.', 'Known error.']",['Event.'],What is defined as a change of state that has significance for the management of an IT service?
"['Organizations and people.', 'Partners and suppliers.', 'Value streams and processes.']",['Information and technology.'],Which dimension includes the knowledge needed for the management of services?
"['To support the Incident Management practice and improvement planning.', 'To manage Emergency Changes.', 'To manage standard changes.']",['To plan changes and help avoid conflicts.'],What is the PRIMARY use of a change schedule?
"['Focus on value.', 'Collaborate and promote visibility.', 'Think and work holistically.']",['Optimize and automate.'],Which guiding principle focuses on reducing costs and human errors?
"['Start where you are.', 'Collaborate and promote visibility.', 'Think and work holistically.']",['Progress iteratively with feedback.'],Which guiding principle helps to ensure that each improvement effort has more focus and is easier to maintain?
"['Improvement ideas are tested, funded and agreed.', 'Improvement ideas that are not being actioned immediately are removed from the CIR.', 'Improvement ideas from many sources are kept in a single CIR.']","['Improvement ideas are documented, assessed and prioritized.']",What is important for a Continual Improvement register (CIR)?
"['To establish and nurture the links between the organization and its stakeholders.', ""To ensure that the organization's suppliers and their performance are managed appropriately."", 'To support the agreed quality of a service by handling all agreed, user-initiated service requests.']",['To set clear business-based targets for service levels.'],Which is a purpose of the Service Level Management practice?
"['Service management.', 'Practices.', 'Service Level Management.']",['A value stream.'],What describes the steps needed to create and deliver a specific service to a consumer?
"['Disaster recovery plans.', 'Target resolution times.', 'Self-help.']",['Swarming.'],Which helps to manage an incident when it is unclear which support team should be working on the incident?
"['Continual Improvement participation should be limited to a small dedicated team.', 'Training should be provided to those involved in Continual Improvement.', 'A single Continual Improvement register should be maintained by senior management.']",['It is the role of senior management to authorize improvement initiatives.'],Which statement about the Continual Improvement practice is CORRECT?
"['Organizational agility.', 'Interfaces among practices.', 'Coordinated authorities and responsibilities.']",['Organizational silos.'],Which does the ITIL service value system discourage?
"['Introducing SLAs for a service enables customers to see that the service provider is doing a really good job, so this improves satisfaction.', 'SLA targets change very frequently, so that each report includes new measures and trends cannot be analyzed.', ""A single SLA defines target service levels for multiple customers, so every customer sees reports about other customers' experiences.""]","['The metrics in an SLA are focused on internal measures, so that reports show everything is good, while the customer is not satisfied.']",An SLA is a service level agreement. Which describes the 'watermelon SLA' effect?
"['Change Enablement.', 'Continual Improvement.', 'Service Desk.']",['Service Level Management.'],Which practice includes conducting regular reviews to ensure that services are still appropriate and relevant?
"['Joint activities performed by a service provider and a service consumer to ensure continual value co-creation based on agreed and available service offerings.', 'A tangible or intangible deliverable of an activity.', 'A possible event that could cause harm or loss, or make it more difficult to achieve objectives.']","['A means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific costs and risks.']",What is a service?
"['1 and 2.', '2 and 3.', '3 and 4.']",['1 and 4.'],Which TWO are important aspects of the Service Request Management practice? 1. Standardization and automation 2. Providing a variety of channels for access 3. Establishing a shared view of targets 4. Policies for approvals
"['Excellent technical knowledge.', 'Root cause analysis skills.', 'Knowledge of telephony technology.']",['Demonstration of emotional intelligence.'],What is required by all Service Desk staff?
"['Relationship Management.', 'Change Enablement.', 'Supplier Management.']",['Service Desk.'],Which practice establishes a channel between the service provider and its users?
"['Service Desk.', 'Monitoring and Event Management.', 'Service Level Management.']",['Continual Improvement.'],"Which practice includes the use of approaches such as Lean, Agile and DevOps with the aim of facilitating a greater amount of change at a quicker rate?"
"['Monitoring and Event Management.', 'Release Management.', 'Relationship Management.']",['Change Enablement.'],Which practice has a purpose that includes maximizing success by ensuring that risks have been properly assessed?
"['Service Level Management.', 'Relationship Management.', 'Continual Improvement.']",['Service Desk.'],"Which practice provides users with a way to get various requests arranged, explained and coordinated?"
"['Eliminating service requests which have complex workflows.', 'Separating requests relating to service failures from the degradation of services.', 'Creating new workflows for every service request.']",['Understanding which service requests can be accomplished with limited approvals.'],Which helps to streamline the fulfilment of service requests?
"['They are deliverables provided to service consumers.', 'They provide products to service providers based on outputs.', 'They co-create value for service providers by reducing costs and risks.']",['They allow service consumers to achieve a desired result.'],Which statement about outcomes is CORRECT?
"['Optimize and automate.', 'Think and work holistically.', 'Collaborate and promote visibility.']",['Keep it simple and practical.'],Which guiding principle says that services and processes should NOT provide a solution for every exception?
"['Measured.', 'Rewarded.', 'Defined.']",['Managed.'],The purpose of the Supplier Management practice is to ensure that the organization's suppliers and their performances are [?] appropriately to support the seamless provision of quality products and services.
"['Relationships with suppliers.', 'Authorization of changes.', 'Skills of people.']",['Configuration of services.'],"The purpose of the Service Configuration Management practice is to ensure that accurate and reliable information about the [?], and the CIs that support them, is available when and where it is needed."
"['Incident Management.', 'Monitoring and Event Management.', 'IT Asset Management.']",['Service Level Management.'],"Which practice requires skills and competencies related to business analysis, Supplier Management and Relationship Management?"
"['As soon as possible, once the incident is logged.', 'After the resolution of a problem.', 'When a potential permanent solution has been identified.']",['When a problem cannot be resolved quickly.'],When should a workaround be created?
"['Any financially valuable component that can contribute to the delivery of an IT product or service.', 'Any change of state that has significance for the management of a service.', 'A problem that has been analyzed but has not been resolved.']",['Any component that needs to be managed in order to deliver an IT service.'],What is a configuration item?
"['Revised processes.', 'Additional measurements.', 'New methods.']",['Existing information.'],"When an organization has decided to improve a service, it should start by considering [?]."
"['Service provision, service consumption, service Relationship Management.', 'Governance, service value chain, practices.', 'Outcomes, utility, warranty.']","['Customer value, stakeholder value, organization.']",Which are elements of the service value system?
"['Deciding the approval authority for changes.', 'Automating the change process.', 'Creating change models.']",['Assigning resources to changes.'],Which is a use of the change schedule?
"['Organizations and people.', 'Information and technology.', 'Partners and suppliers.']",['Value streams and processes.'],Which dimension of service management considers the workflows and controls needed to deliver services?
"['Think and work holistically.', 'Start where you are.', 'Focus on value.']",['Optimize and automate.'],Which guiding principle considers how the steps of a process can be performed as efficiently as possible?
"['It maintains detailed procedures for diagnosing incidents.', 'It authorizes changes to resolve incidents.', 'It identifies the cause of major incidents.']",['It resolves the highest impact incidents first.'],Which statement about the Incident Management practice is CORRECT?
"['Assess the availability of the appropriate support team.', 'Ask the user for their preferred resolution timeframe.', 'Create an order of incidents based on the dates and times when they were logged.']",['Use an agreed classification which is based on the business impact of the incident.'],How should an organization prioritize incidents?
"['To systematically observe services and service components.', 'To protect the information needed by the organization to conduct its business.', 'To be the entry point and single point of contact for the service provider with all of its users.']","['To identify, analyze, monitor, and continually improve links with stakeholders.']",Which is a purpose of the Relationship Management practice?
"['Problem analysis should focus on one of the four dimensions to achieve a fast diagnosis.', 'Problems must be resolved quickly in order to restore normal business activity.', 'Problems are not related to incidents.']",['Problem Prioritization involves risk assessment.'],Which statement about problems is CORRECT?
"['Service provider ceasing to trade.', 'Failure of server hardware.', 'Cost of purchasing servers.']",['Security breach.'],Which is a risk that might be removed from a service consumer by an IT service?
"[""Understanding the organization's vision."", 'Understanding stakeholder needs.', 'Ensuring service components are available.']",['Meeting stakeholder expectations.'],Which is one of the MAIN concerns of the 'design and transition' value chain activity?
"['A request to implement a security patch.', 'A request to resolve an error in a service.', 'A request to change a target in a service level agreement.']",['A request to provide a laptop.'],Which should be handled by Service Request Management?
"['Governance.', 'Guiding principles.', 'Practices.']",['Service value chain.'],What can be described as an operating model for the creation and management of products and services?
"['Requesting required service actions.', 'Authorizing budget for service consumption.', 'Receiving of the agreed goods.']",['Ensuring access to agreed resources.'],Which action is performed by a service provider?
"['Did we get there?', 'What is the vision?', 'Where do we want to be?']",['Where are we now?'],Which step of the Continual Improvement model includes baseline assessments?
"['A model used to determine who will assess a change.', 'A tool used to help plan changes.', 'A way to manage the people aspects of change.']",['A person who approves a change.'],Which describes a 'change authority'?
"['The service value chain.', 'Continual Improvement.', 'Governance.']",['Opportunity and demand.'],Which is NOT a component of the service value system?
"['It focuses on the service actions performed by users.', 'It requires the service consumer to create resources for the service provider.', 'It focuses on the fulfilment of the agreed service actions.']",['It requires co-operation of both the service provider and service consumer.'],Which statement about service Relationship Management is CORRECT?
"['To ensure that user expectations are realistic.', 'To help information-sharing and learning.', 'To provide links to related changes and known errors.']",['To ensure that incidents with highest impact are resolved first.'],What is the MOST important reason for prioritizing incidents?
"['Creating targets based on the percentage of uptime of a service.', 'Using complex technical terminology in service level agreements (SLAs).', 'Measuring low-level operational activities.']",['Understanding the ongoing requirements of customers.'],Which Service Level Management activity helps staff to deliver a more business-focused service?
"['Service Configuration Management.', 'Deployment Management.', 'Change Enablement.']",['Service Request Management.'],"Which practice has a purpose that includes the handling of pre-defined, user-initiated demands for service?"
"['Think and work holistically.', 'Collaborate and promote visibility.', 'Progress iteratively with feedback.']",['Keep it simple and practical.'],Which guiding principle considers which parts of an existing process should be kept by identifying how they contribute to value creation?
"['To capture demand for Incident Resolution and service requests.', 'To manage workarounds and known errors.', 'To restore normal service operation as quickly as possible.']",['To systematically observe services and service components.'],What is the purpose of the Monitoring and Event Management practice?
"['Outcomes use activities to produce tangible or intangible deliverables.', 'Outcomes give service consumers assurance of products or services.', 'Outcomes help a service consumer to assess the cost of a specific activity.']",['Outcomes rely on outputs to deliver results for a stakeholder.'],Which statement about outcomes is CORRECT?
"['Technical expertise.', 'Event Monitoring.', 'Problem Management.']",['Supplier Management.'],Which skill is required by the Service Level Management practice?
"['The flow of the model helps organizations to link improvements to its goals.', 'The model is applicable to only certain parts of the service value system.', 'Organizations should use an additional model or method to link improvements to customer value.']",['Organizations should work through the steps of the model in the sequence in which they are presented.'],Which statement about the Continual Improvement model is CORRECT?
"['A means of identifying a result for a stakeholder.', 'A means of determining whether a service is fit for purpose.', 'A means of identifying events that could cause harm or loss.']",['A means of determining whether a service is fit for use.'],What is the definition of warranty?
"['Problem Management.', 'Change Enablement.', 'Service Configuration Management.']",['Information security management.'],"Which practice has a purpose that includes managing risks relating to confidentiality, integrity and availability?"
"['The means by which an organization is directed and controlled.', 'A set of specialized organizational capabilities for enabling value to customers.', 'A method for visualizing work, identifying potential blockages and resource conflicts, and managing work in progress.']","['A means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific costs and risks.']",What is the definition of a service?
"['Assurance.', 'Promise.', 'Outcome.']",['Functionality.'],Utility is the [?] offered by a product or service to meet a particular need.
"['IT Asset Management.', 'Service Configuration Management.', 'Service Level Management.']",['Change Enablement.'],"[?] is the practice of ensuring that risks are properly assessed, authorizing changes to proceed, and managing a change schedule in order to maximize the number of successful IT changes."
"['Output.', 'Product.', 'Outcome.']",['Service.'],An event is any change of state that has significance for the management of a(n) [?] or other configuration items.
"['Ensuring that services achieve agreed and expected performance levels, satisfying current and future demand in a cost-effective way.', 'Ensuring that services deliver agreed levels of availability or that change can be assessed.', 'Systematically observing services and service components and recording and reporting selected changes of state identified as events.']","['Protecting an organization by understanding and managing risks to the confidentiality, integrity, and availability of information.']",What is the purpose of the Information Security Management practice?
"['Supporting the agreed quality of a service by handling all pre-defined, user-initiated service requests in an effective and user-friendly manner.', 'Minimizing the negative impact of incidents by restoring normal service operation as quickly as possible.', ""Ensuring that all an organization's projects are successfully delivered.""]",['Systematically observing services and service components and recording and reporting selected changes of state identified as events.'],What is the purpose of the Monitoring and Event Management practice?
"['Supporting the agreed quality of a service by handling all pre-defined, user-initiated service requests in an effective and user-friendly manner.', 'Ensuring that services deliver agreed levels of availability or that change can be assessed.', ""Ensuring that all an organization's projects are successfully delivered.""]",['Minimizing the negative impact of incidents by restoring normal service operation as quickly as possible.'],What is the purpose of the Incident Management practice?
"['Change Enablement.', 'IT Asset Management.', 'Service Level Management.']",['Service Configuration Management.'],"What is defined as the practice of ensuring that accurate and reliable information about the configuration of services, and the configuration items that support them, is available when and where needed?"
"['Incident Management.', 'Service Level Management.', 'Service Request Management.']",['Service Desk.'],The [?] is the practice of capturing demand for incident resolution and service requests.
"['An outcome.', 'Value.', 'An output.']",['A service offering.'],"Dion Training has decided to offer two membership levels to their training programs. The first membership level includes all of their video courses, practice exams, and study guides for a single monthly fee. This plan does not provide the students with the actual exam voucher to take the certification exams, though. What term best describes this membership level which provides several services for a single price?"
"['Results for stakeholders.', ""Configuration of an organization's resources."", 'Functionality offered by a product or service.']",['Tangible or intangible deliverables.'],Which describes outputs?
"['Consumer.', 'Service provider.', 'Customer.']",['Organization.'],"What term best describes a person or a group of people that has its own functions with responsibilities, authorities, and relationships to achieve its objectives?"
"['A guiding principle is mandatory and must be used when adopting a new service within the organization.', 'A guiding principle is specific and only applies to one initiative within the organization.', 'An organization must implement the guiding principles exactly as defined by the ITIL4 Foundation manual.']",['A guiding principle is a recommendation used as guidance in all circumstances.'],Which describes the nature of the guiding principles?
"['Progress iteratively with feedback.', 'Think and work holistically.', 'Start where you are.']",['Focus on value.'],Which guiding principle is most affected by the Customer Experience (CX)?
"['Focus on value.', 'Collaborate and promote visibility.', 'Keep it simple and practical.']",['Start where you are.'],"Dion Training Solutions wants to build a new service to automatically fulfill exam voucher orders for students. Currently, exam vouchers are fulfilled manually by a staff member once the order is received from the student by copying and pasting the voucher number from a spreadsheet into an email template and sending out the email to the students. Before attempting to automate this fulfillment process, the team lead takes an inventory of the current services, processes, and procedures that are being used by the voucher fulfillment team to see if they might be able to be reused. What guiding principle best describes this scenario?"
"['Focus on value.', 'Collaborate and promote visibility.', 'Optimize and automate.', 'Progress iteratively with feedback.']",[],"Dion Training Solutions has decided to create an online course for the ITIL 4 Foundation exam. The company developed their curriculum and then invited 50 students to participate in live training to determine if the training was effective. During the training, some students didn't understand the concept of the service value chain, so the instructor rewrote that portion of the curriculum. Which guiding principle is being demonstrated by this approach to curriculum development?"
"['Focus on value.', 'Start where you are.', 'Keep it simple and practical.']",['Collaborate and promote visibility.'],"You are working to design a new service for internal use across your organization. As part of your design efforts, you form a small team with relevant stakeholders from the human resources, information technology, sales, and other relevant departments to ensure the service adequately meets each department's needs and hope this results in great acceptance of the service when delivered. Which guiding principle best describes this scenario?"
"['John should optimize his code to ensure it runs efficiently.', ""John should wait until Sally's portion is complete before beginning his to ensure they work together properly."", 'John should tell Sally to wait until his portion is done before starting hers to ensure compatibility.']",['John should meet with Sally to determine how the digital product fulfillment will occur.'],"John is currently working to create a new service that would allow a customer to purchase a digital product online and have it delivered to the user's inbox. John is responsible for the payment portion of this service, but Sally is responsible for the digital product fulfillment portion of the service. Which of the following should John do in order to follow the principle of 'think and work holistically'?"
"['Roles and responsibilities.', 'Contracts and agreements.', 'Security and compliance.']",['Workflow management and inventory systems.'],Which of these are NOT a key focus of the Partners and Suppliers dimension?
"['Seven guiding principles.', 'Four dimensions of service management.', 'Practices.']",['Service value system.'],Which ITIL concept describes the service value chain?
"['Continual improvement.', 'Practices.', 'Guiding principles.']",['Service value chain.'],What operating model outlines the key activities required to respond to demand and facilitate value realization through the creation and management of products and services?
"['Engage.', 'Improve.', 'Deliver and support.']",['Plan.'],Which value chain activity includes portfolio decisions for Design and Transition?
"['Where are we now?', 'Where do we want to be?', 'How do we get there?']",['What is the vision?'],Which step of the Continual Improvement model states that 'each improvement initiative should support the organization's goals and objectives'?
"['The detailed steps of how to achieve your objectives.', 'What metrics you will use to measure success.', 'The current processes being used.']",['The high-level direction of the initiative has been understood.'],"When working within the 'what is the vision' step of the Continual Improvement model, what must you ensure to occur?"
"['What is the vision?', 'How do we get there?', 'Where are we now?']",['Where do we want to be?'],"Bridgett is leading an improvement initiative within your company. She has been told that the company wants to have the highest customer satisfaction in the industry. Currently, the company has a customer satisfaction rating of 92% but the industry leader has an average of 94%. Bridgett decides that the company should set their goal of obtaining a 96% customer satisfaction score within the next 12 months. What step of the continual improvement model is Bridgett currently in?"
"[""A change that doesn't need risk assessment because the procedure has been pre-authorized."", ""A change that doesn't need risk assessment because it is required to resolve an incident."", 'A change that is routine in nature, is fully documented, and the risks are well understood.']","['A change that needs to be assessed, authorized, and scheduled by a change authority.']",What is a normal change?
"['Planning changes.', 'Avoiding contacts.', 'Assigning resources.']",['Developing features.'],What is a change schedule NOT used for?
"['Use automation.', 'Utilize self-help tools.', 'Utilize problem management.']",['Implement incident classification.'],How can you ensure the incidents with the highest business impact are resolved first?
"['Only an incident that cannot be immediately resolved.', 'Any incident that occurs more than once.', 'Only incidents that are not solved using self-help tools.']",['Every incident should be logged.'],Which incidents should be logged?
"['Problem identification.', 'Problem control.', 'Error control.']",['Problem classification.'],What is NOT a phase in problem management?
"['Incident.', 'Solution.', 'Known error.']",['Workaround.'],"If a problem cannot be resolved quickly, you might wish to document and implement a temporary solution to reduce the impact of the problem. What is this known as?"
"['It ensures that users continue to be productive when they need assistance from the service provider.', 'It collects user-specific requirements, sets expectations, and provides status updates.', 'It acquires pre-approved service components to help fulfill service requests.']",['It analyzes data to identify opportunities to provide new service request options.'],How does Service Request Management contribute to the Improve value chain activity?
"['Uniquely handled.', 'Creatively solved.', 'Ignored.']",['Standardized.'],Service requests and their fulfillment should be [?] and automated to the greatest degree possible.
"['Problem Management.', 'Service Request Management.', 'Incident Management.']",['Service Desk.'],Your smartphone isn't working properly. You call the toll-free number for your service provider's support center. Which practice would you reach that serves as the entry point for all contact between the service provider and its users?
"['Service desks should never use technologies such as SMS and chat functions.', 'Service desks should be highly technical functions.', 'Service desks should always use a virtual service desk.']",['Service desks should have a practical understanding of the business practices across the organization.'],Which is a recommendation of the Service Desk practice?
"['To measure the performance of the service availability.', 'To measure the performance of the service capability.', ""To measure the performance of the service from the service provider's point of view.""]","[""To measure the performance of services from a customer's point of view.""]",What is a Service Level Agreement used for?
"['Uses feedback from users about the service and requirements from customers to make the service better.', 'Collects and processes feedback from customers and users.', 'Collects feedback during interactions and communicates service performance objectives to the operations and support teams.']",['Provides information about the actual service performance and trends.'],How does Service Level Management contribute to the 'plan' value chain activity?
"['Detailed metrics to capture availability of the system.', 'Metrics for system response time.', 'Number of emails sent per hour.']",['Clearly defined service outcomes.'],What should be included in every Service Level Agreement?
"['The assurance that a product or service will meet agreed requirements.', 'A possible event that could cause harm or loss, or make it more difficult to achieve objectives.', 'A tangible or intangible deliverable that is produced by carrying out an activity.']",['The functionality offered by a product or service to meet a particular need.'],What is the definition of utility?
"['A particular set of settings or options on a given piece of equipment.', 'A means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific costs and risks.', 'Any component that needs to be managed in order to deliver an IT service.']",['Any valuable component that can contribute to the delivery of an IT product or service.'],What is the definition of an IT asset?
"['Product.', 'Outputs.', 'Asset.']",['Configuration item.'],A(n) [?] is any component that needs to be managed in order to deliver an IT service.
"['Availability.', 'Event.', 'Problem.']",['Incident.'],[?] management is the practice of minimizing the negative impact of incidents by restoring normal service operation as quickly as possible.
"['Service Level Management.', 'Service Request Management.', 'Capacity and Performance Management.']",['Continual Improvement.'],What is defined as the practice of aligning an organization's practices and services with changing business needs through the ongoing identification and improvement of all elements involved in the effective management of products and services?
"['Capacity.', 'Availability.', 'Request.']",['Level.'],"Service [?] management is the practice of setting clear business-based targets for service performance so that the delivery of a service can be properly assessed, monitored, and managed against these targets."
"['Service Offering.', 'Service Provision.', 'Service Consumption.']",['Service Relationship Management.'],"Dion Training has decided not to run their own email servers. Instead, Dion Training pays a monthly service fee to Google's G-Suite to provide email services to the company so that Dion Training can receive emails from its students. What best describes this co-creation of value by Dion Training and Google in order to provide email support to Dion Training's students?"
"['Utility.', 'Warranty.', 'Outcome.']",['Value.'],"What term best describes the perceived benefits, usefulness, and importance of something?"
"['Outputs.', 'Costs.', 'Utility.']",['Risks.'],Your organization is preparing to launch a new service. Your manager is concerned that there is a possibility that something bad might happen which could cause the service to fail and the desired outcome won't be achieved. What term best describes your manager's concerns?
